Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Sam Montembeault,,,,,,,,,,,,,,,,,,,,,11.05x1,,,29.5x1,,,3.0x1
Cole Caufield,0.5x0.75,0.5sx1.25,,,,4.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.5,0.5x0.7,,,,9.05x1,,,,0.5sx1.25,0.5x0.8,
Tage Thompson,0.5x0.85,0.5sx1.2,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Alex Tuch,0.5x0.8,0.5sx1.25,,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2.25,,,,,8.55x1,,,,0.5sx1.5,0.5x0.7,
Nick Suzuki,0.5x0.7,0.5sx1.5,,2.5sx1.1,2.5x0.85,,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Mike Matheson,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,8.05x1,,,,0.5sx4,,
Rasmus Dahlin,0.5x0.7,0.5sx1.5,,,,3.0x1,1.5x0.85,1.5sx1.1,,,,,0.5x0.8,0.5sx1.2,,0.5sx1.5,0.5x0.7,,,,10.05x1,,,,0.5sx2.25,,
Jeff Skinner,,,0.5x1,2.5x0.9,2.5x1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Josh Anderson,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Dylan Cozens,,,0.5x1,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Brendan Gallagher,,,,1.5x0.9,1.5sx1.05,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Jordan Greenway,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.25,,
Casey Mittelstadt,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx3,,,,,,,,,0.5sx2.25,,
JJ Peterka,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx1.75,0.5x0.65,
Alex Newhook,0.5sx1.1,0.5x0.9,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,,,,,0.5sx2.25,,
Juraj Slafkovsky,0.5x0.9,0.5x1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,0.5x0.65,,,,,,,,0.5sx1.75,0.5x0.65,
Kyle Okposo,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Tanner Pearson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Zach Benson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Jake Evans,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Zemgus Girgensons,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Joshua Roy,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Eric Robinson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Peyton Krebs,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Jesse Ylonen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Joel Armia,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Brandon Gignac,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Henri Jokiharju,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
David Savard,,,,,,,,,2.5x1,,,,,,,,,,,,,,,,,,
Kaiden Guhle,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Connor Clifton,,,,,,,1.5x0.9,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Arvid Soderblom,,,,,,,,,,,,,,,,,,,,,10.05x1,,,29.5x1,3.5sx1.1,3.5x0.85,
Travis Konecny,0.5x0.75,0.5sx1.25,,,,3.5x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,8.55x1,,,,0.5sx1.1,0.5x0.85,
Connor Bedard,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Owen Tippett,0.5x0.8,0.5sx1.25,,,,4.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,,,,,9.55x1,,,,0.5sx1.2,0.5x0.8,
Seth Jones,0.5x1,,,,,2.0x1,,,2.0x1,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx4.5,,
Nicolas Deslauriers,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Joel Farabee,0.5x0.9,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Anthony Beauvillier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Cam Atkinson,0.5sx1.1,0.5x0.85,,,,2.5x1,,,,,,,0.5sx2,0.5x0.65,,0.5sx4.25,,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Jason Dickinson,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.75,,
Morgan Frost,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx1.75,0.5x0.65,
Scott Laughton,0.5sx1.1,0.5x0.85,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.75,,,,,,,,,0.5sx2.5,,
Travis Sanheim,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx4.25,,,,,,,,,0.5sx5,,
Philipp Kurashev,0.5sx1.05,0.5x0.9,,,,1.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx2.5,,
Tyler Johnson,0.5sx1.2,0.5x0.8,,,,1.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.25,,,,,,,,,0.5sx2.5,,
Sean Couturier,0.5x0.9,0.5sx1.05,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Nick Foligno,0.5sx1.1,0.5x0.9,,,,1.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2.25,,
Taylor Raddysh,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Joey Anderson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Colin Blackwell,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Garnet Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Ryan Poehling,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Noah Cates,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Jamie Drysdale,,,,,,,,,,,,,,,,0.5sx3.75,,,,,,,,,0.5sx4.75,,
Ryan Donato,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Cam York,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Olle Lycksell,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Jarred Tinordi,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Nick Seeler,,,,,,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,,,
Frank Vatrano,0.5x0.9,0.5x1,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Johnny Gaudreau,0.5x0.85,0.5sx1.2,,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Boone Jenner,0.5x0.85,0.5sx1.1,,3.5sx1.1,3.5x0.8,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2,0.5x0.65,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
Troy Terry,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx3,,,,,6.05x1,,,,0.5sx1.75,0.5x0.65,
Mason McTavish,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2,0.5x0.65,
Adam Henrique,,,0.5x1,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,,,,,0.5sx2,0.5x0.65,
Kirill Marchenko,0.5sx1.1,0.5x0.9,,,,2.5x1,,,,,,,0.5sx2,0.5x0.65,,0.5sx2.5,,,,,5.55x1,,,,0.5sx1.75,0.5x0.65,
Alex Killorn,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.5,,,,,,,,,0.5sx2,0.5x0.65,
Cam Fowler,,,0.5x1,,,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2.5,,,,,,,,,0.5sx5,,
Ryan Strome,,,0.5x1,1.5x0.9,1.5sx1.05,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.75,,,,,,,,,0.5sx2.5,,
Ivan Provorov,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,,,
Zach Werenski,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx2,0.5x0.65,,,,7.55x1,,,,0.5sx3.5,,
Dmitri Voronkov,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2,0.5x0.65,
Jack Roslovic,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx5,,,,,,,,,0.5sx2.75,,
Leo Carlsson,0.5x1,,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.75,,,,,,,,,0.5sx2.25,,
Jakob Silfverberg,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Damon Severson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Max Jones,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Alexandre Texier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Yegor Chinakhov,,,,2.5sx1.1,2.5x0.85,,,,,,,,,,,0.5sx4.5,,,,,,,,,0.5sx2,,
Kent Johnson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Cole Sillinger,,,,1.5x0.9,1.5sx1.05,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Isac Lundestrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Adam Boqvist,,,,,,,,,,,,,,,,0.5sx3.5,,,,,,,,,0.5sx6,,
Sean Kuraly,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Justin Danforth,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Sam Carrick,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Mathieu Olivier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Pavel Mintyukov,,,,,,,,,,,,,,,,0.5sx4.25,,,,,,,,,,,
Ilya Lyubushkin,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Radko Gudas,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
David Pastrnak,1.5sx1.1,1.5x0.85,,,,4.5x1,,,,,,,,,0.5x1,0.5sx1.1,0.5x0.85,,,,10.55x1,,,,,,0.5x1
Connor McDavid,1.5sx1.05,1.5x0.9,,,,3.5x1,,,,,,,0.5x0.75,0.5sx1.25,,0.5sx1.25,0.5x0.8,,,,10.05x1,,,,0.5sx1.1,0.5x0.85,
Brad Marchand,0.5x0.8,0.5sx1.25,,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Leon Draisaitl,1.5sx1.25,1.5x0.75,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,8.05x1,,,,0.5sx1.25,0.5x0.8,
Evander Kane,,,0.5x1,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,7.55x1,,,,0.5sx1.75,0.5x0.65,
Jake DeBrusk,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2.25,,
Charlie McAvoy,,,0.5x1,1.5x0.8,1.5sx1.25,,1.5x0.8,1.5sx1.2,,,,,0.5sx1.05,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx3.75,,
Zach Hyman,0.5x0.8,0.5sx1.2,,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,0.5x0.65,,,,8.05x1,,,,0.5sx1.25,0.5x0.8,
Pavel Zacha,,,0.5x1,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx2.25,,
Ryan Nugent-Hopkins,0.5x0.8,0.5sx1.25,,2.5sx1.1,2.5x0.85,,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,7.05x1,,,,0.5sx1.75,0.5x0.65,
Evan Bouchard,0.5x0.9,0.5sx1.05,,2.5sx1.05,2.5x0.9,,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx2.75,,
Darnell Nurse,,,,1.5x0.8,1.5sx1.25,,,,2.0x1,,,,,,,,,,,,,,,,0.5sx5.25,,
Corey Perry,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Charlie Coyle,0.5x1,,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.25,,
James van Riemsdyk,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx2.75,,,,,,,,,0.5sx2.5,,
Anthony Richard,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Danton Heinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Trent Frederic,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Warren Foegele,,,,2.5sx1.25,2.5x0.8,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Morgan Geekie,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Sam Gagner,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Mattias Ekholm,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Mattias Janmark,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Derek Ryan,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Dylan Holloway,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Ryan McLeod,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Jesper Boqvist,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Justin Brazeau,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Auston Matthews,1.5sx1.25,1.5x0.8,,,,4.5x1,,,,,,,0.5sx1.05,0.5x0.9,,0.5sx1.25,0.5x0.8,,,,11.55x1,,,,,,0.5x1
Clayton Keller,0.5x0.75,0.5sx1.25,,2.5x0.9,2.5sx1.1,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Mitchell Marner,1.5sx1.25,1.5x0.75,,,,3.0x1,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.25,0.5x0.75,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
Barrett Hayton,,,,,,,,,,,,,,,,0.5sx4.5,,,,,,,,,0.5sx2.75,,
William Nylander,1.5sx1.1,1.5x0.9,,3.5x0.85,3.5sx1.1,,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.1,0.5x0.85,,,,9.55x1,,,,0.5sx1.1,0.5x0.85,
Jason Zucker,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx3,,
John Tavares,0.5x0.85,0.5sx1.1,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,8.55x1,,,,0.5sx1.25,0.5x0.75,
Lawson Crouse,0.5sx1.1,0.5x0.85,,1.5x0.8,1.5sx1.25,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx2,,
Tyler Bertuzzi,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx2.25,,
Max Domi,0.5sx1.25,0.5x0.8,,1.5x0.9,1.5sx1.05,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.75,,
Sean Durzi,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.2,,2.5sx1.1,2.5x0.85,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx4.25,,
Dylan Guenther,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx2.25,,
Matthew Knies,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.25,,
Logan Cooley,0.5sx1.25,0.5x0.8,,1.5x0.9,1.5sx1.05,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4,,,,,,,,,0.5sx3,,
Matias Maccelli,0.5x1,,,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.5,,,,,,,,,0.5sx3,,
Nick Schmaltz,,,0.5x1,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx2.25,,
Nick Bjugstad,0.5sx1.2,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx5,,,,,,,,,0.5sx2.5,,
Jake McCabe,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Noah Gregor,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Alexander Kerfoot,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Nicholas Robertson,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Jack McBain,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Bobby McMann,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Timothy Liljegren,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,0.5sx5.75,,
Ryan Reaves,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Michael Carcone,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
David Kampf,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
TJ Brodie,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Matt Dumba,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
